"DateTime";"Pix Troco";"Pix Saque";"Total"
"2021-12-31";293;3588;3881
"2022-01-31";1284;66551;67835
"2022-02-28";1591;91553;93144
"2022-03-31";2077;135542;137619
"2022-04-30";1952;150783;152735
"2022-05-31";2216;184710;186926
"2022-06-30";2693;223423;226116
"2022-07-31";3147;267612;270759
"2022-08-31";3514;310734;314248
"2022-09-30";4712;390512;395224
